EAN,Produto_Original,Status,Preço_De_Tabela,Preço_Pix,Preço_Cartão,Farmácia
7.89637E+12,Castanha da Índia Atalaia 30 drágeas,Disponível,60.21,50.91,53.59,Vera Cruz
7.89713E+12,"Verrux 0,20g/ml + ,015ml/ml Solução 10ml",Disponível,78.9,68.86,72.48,Vera Cruz
7.89609E+12,Cebralat 100mg 60 comprimidos,Esgotado,94.72,67.49,71.04,Vera Cruz
7.89858E+12,"Belarina 2mg + 0,02mg 28 comprimidos revestidos",Disponível,68.01,51.69,54.41,Vera Cruz
7.89132E+12,Coltrax 4mg 20 comprimidos,Disponível,71.46,57.7,60.74,Vera Cruz
7.89962E+12,Xarope Specdera Sabor Cereja 100ml,Esgotado,27.19,22.99,24.2,Vera Cruz
7.89666E+12,Prolive 30 cápsulas,Disponível,129.9,123.41,64.95,Vera Cruz
7.89609E+12,Antiácido Pó Efervescente Estomazil Sabor Guaraná 5g,Disponível,3.48,2.75,2.89,Vera Cruz
7.89127E+12,Viagra 50mg 2 Comprimidos,Disponível,76.29,63.05,66.37,Vera Cruz
7.89116E+12,Vitamina D Sof D 7.000 UI 8 cápsulas gelatinosas moles,Disponível,35.55,29.04,30.57,Vera Cruz
7.89633E+12,Ritmoneuran RTM Solução Oral 100ml,Esgotado,29.9,22.15,23.32,Vera Cruz
7.89492E+12,Vynaxa 10mg 30 Comprimidos Revestidos,Disponível,53.39,42.09,44.31,Vera Cruz
7.89602E+12,Camomila Composta Catarinense Solução Oral 150ml,Disponível,39.9,28.8,30.32,Vera Cruz
7.89127E+12,"Xalatan 50mcg/ml Colírio 2,5ml",Disponível,253,211.51,74.21,Vera Cruz
7.89106E+12,"Laxante Guttalax 7,5mg/ml 30ml",Disponível,47.22,44.86,47.22,Vera Cruz
7.89666E+12,Nisulid Dispersível 100mg 12 comprimidos dispersíveis,Disponível,74.89,60.48,63.66,Vera Cruz
7.89633E+12,Xarope Glyteol 200mg/15ml com Mentol 100ml,Esgotado,28.68,19.08,20.08,Vera Cruz
7.89609E+12,Vabam 20mg 30 comprimidos revestidos,Esgotado,190.72,181.18,63.57,Vera Cruz
7.89172E+12,"Diclin 2mg + 0,035mg 21 comprimidos revestidos",Disponível,25.39,19.54,20.57,Vera Cruz
7.89106E+12,"Clexane 40mg/0,4ml 2 seringas preenchidas com 0,4ml com sistema de segurança",Disponível,178.78,107,56.32,Vera Cruz
7.89667E+12,Bamifix 600mg 20 drágeas,Disponível,73.02,60.35,63.53,Vera Cruz
7.89664E+12,"Colchis 0,5mg 20 comprimidos",Disponível,56.4,23.58,24.82,Vera Cruz
7.89795E+12,Lactolínea 667mg/ml Sabor Ameixa 120ml,Disponível,23.99,16.63,17.51,Vera Cruz
7.89667E+12,Clenil Compositum A 400mcg/ml + 800mcg/ml 10 flaconetes com 2ml cada,Disponível,92.46,77.29,81.36,Vera Cruz
7.89618E+12,Busonid Caps 400mcg Refil 60 cápsulas para inalação,Disponível,94.72,75.58,79.56,Vera Cruz
7.89114E+12,Predsim 20mg 10 comprimidos,Disponível,40.42,33.79,35.57,Vera Cruz
7.89664E+12,Dexilant 30mg Takeda 30 cápsulas de liberação retardada,Disponível,129.76,104.79,55.15,Vera Cruz
7.89611E+12,Ibupril 300mg 20 comprimidos,Disponível,20.3,8.1,8.53,Vera Cruz
7.89603E+12,Trayenta 5mg 30 comprimidos revestidos,Disponível,327.33,310.96,109.11,Vera Cruz
7.89602E+12,Naldecon Noite 24 comprimidos,Disponível,60.99,49.25,51.84,Vera Cruz
7.89671E+12,Antialérgico Xarope Histamin 2mg/5ml 100ml,Disponível,26.9,21.97,23.13,Vera Cruz
7.89621E+12,Motilium 1mg/ml Suspensão Oral 100ml,Esgotado,83.52,72.2,76,Vera Cruz
7.89611E+12,"Pressat 2,5mg 30 comprimidos",Disponível,42.32,32.57,34.28,Vera Cruz
7.89666E+12,Resist 500mg 90 cápsulas,Disponível,197.89,178.6,62.67,Vera Cruz
7.89603E+12,Jardiance 10mg 30 comprimidos revestidos,Disponível,321.27,305.21,107.09,Vera Cruz
7.89492E+12,Tropinal 20 comprimidos,Disponível,26.39,21.81,22.96,Vera Cruz
7.89492E+12,Esomex 40mg 28 comprimidos revestidos,Esgotado,104,98.8,52,Vera Cruz
7.89671E+12,Fluxon 75mg 30 comprimidos,Disponível,21.25,20.19,21.25,Vera Cruz
7.89106E+12,Analgésico Dorflex Gotas 20ml,Disponível,27.55,23.56,24.8,Vera Cruz
7.89609E+12,Nesina Pio 25mg + 30mg 30 comprimidos revestidos,Esgotado,279.27,265.31,93.09,Vera Cruz
7.89601E+12,"Metrexato 2,5mg 24 comprimidos",Disponível,42.41,29.01,30.54,Vera Cruz
7.89132E+12,"Trok 20mg/g + 0,64mg/g Pomada Dermatológico 10g",Disponível,20.05,17.15,18.05,Vera Cruz
7.89671E+12,Neolefrin Neo Química 20 comprimidos,Disponível,19.97,12.89,13.57,Vera Cruz
7.89101E+12,Tylenol 750mg 10 comprimidos revestidos,Disponível,24.59,18.22,19.18,Vera Cruz
7.89934E+12,"Protopic 0,1% Pomada Dermatológica 30g",Esgotado,213.99,168.73,59.2,Vera Cruz
5.41379E+12,Zyxem 5mg 10 comprimidos revestidos,Esgotado,79.55,63.48,66.82,Vera Cruz
7.89664E+12,Litocit 540mg 60 comprimidos de liberação prolongada,Disponível,68.8,56.21,59.17,Vera Cruz
7.89611E+12,Novanlo 5mg 30 comprimidos,Disponível,153.09,116.35,61.24,Vera Cruz
7.89633E+12,Gel Hidratante Intravaginal VagiSoft 30g + 10 Aplicadores Descartáveis,Disponível,55.9,47.79,50.31,Vera Cruz
7.89666E+12,"Flogoral 1,5mg/ml Sabor Laranja 250ml",Esgotado,47.61,45.23,47.61,Vera Cruz
7.89603E+12,"Spiriva Respimat 2,5mcg/dose 4ml + inalador Respimat (60 doses)",Disponível,518.4,492.48,172.8,Vera Cruz
7.89114E+12,Oximax 400mcg 30 cápsulas de pó para inalação + inalador,Disponível,113.75,86.45,91,Vera Cruz
7.896E+12,Bálsamo Bengué Pomada 60g,Disponível,48.15,39.34,41.41,Vera Cruz
7.89114E+12,Predsim 5mg 10 comprimidos,Disponível,13.82,11.69,12.3,Vera Cruz
7.89609E+12,Caltren 20mg 30 comprimidos,Disponível,163.82,122.95,64.71,Vera Cruz
7.89608E+12,"Sinustrat 9,0mg/ml Solução Nasal Forte 10ml",Disponível,23.66,18.2,19.16,Vera Cruz
7.89671E+12,"Picbam 2,5mg 60 comprimidos revestidos",Esgotado,291.9,277.31,97.3,Vera Cruz
7.89602E+12,"Avamys Spray Nasal 27,5mg 120 doses 9,1ml",Disponível,75.2,63.58,66.93,Vera Cruz
7.89813E+12,Xarope Polaradex 100ml,Esgotado,22.99,21.84,22.99,Vera Cruz
7.89111E+12,Gyno - Icaden Óvulo 600mg 1 óvulo + 1 dedeira,Esgotado,117.83,111.94,58.92,Vera Cruz
7.89793E+12,Epiduo 1mg/g + 25mg/g Gel 30g,Disponível,142.65,113.84,59.92,Vera Cruz
7.89609E+12,Minian 150mcg + 20mcg 63 comprimidos revestidos,Disponível,111.91,79.73,83.93,Vera Cruz
7.89621E+12,Brilinta 90mg 60 comprimidos revestidos,Disponível,521.42,401.23,140.78,Vera Cruz
7.89732E+12,Acular LS 4mg/ml Solução Oftálmica 10ml,Disponível,155.51,122.62,64.54,Vera Cruz
7.89621E+12,Resolor 1mg 14 comprimidos revestidos,Disponível,165.07,144.27,50.62,Vera Cruz
7.89666E+12,"Decadron 0,5mg 20 comprimidos",Disponível,12.44,10.4,10.95,Vera Cruz
7.89602E+12,Sal de Andrews Efervescente 1 envelope com 5g,Disponível,2.2,1.99,2.09,Vera Cruz
7.89664E+12,Inibina 10mg 30 comprimidos,Disponível,169.96,150.16,52.69,Vera Cruz
7.89132E+12,Tãmisa 15 60mcg + 15mcg 28 comprimidos revestidos,Disponível,30.25,23.28,24.5,Vera Cruz
7.89492E+12,Penvir 500mg 21 comprimidos revestidos,Disponível,710.3,566.82,198.88,Vera Cruz
7.89608E+12,Gamaline V 900mg 30 cápsulas moles,Disponível,184.01,155.58,54.59,Vera Cruz
7.89602E+12,Melagrião Própolis e Gengibre Spray Sabor Limão 30ml,Disponível,21.99,16.71,17.59,Vera Cruz
7.89111E+12,Qlaira Bayer 26 comprimidos ativos + 2 comprimidos inativos,Disponível,74.29,62.81,66.12,Vera Cruz
7.89172E+12,Glifage 850mg 30 comprimidos revestidos,Disponível,40.81,32.18,33.87,Vera Cruz
7.8981E+12,Arflex Retard 200mg 6 cápsulas de ação prolongada,Disponível,51.3,39.47,41.55,Vera Cruz
7.89492E+12,"OLMY ANLO - 20mg + 5mg, 30 comprimidos revestidos",Esgotado,64.52,44.75,47.1,Vera Cruz
7.89132E+12,BetaTrinta 5mg/ml + 2 mg/ml Suspensão Injetável 1ml + seringa,Disponível,31.66,26.16,27.54,Vera Cruz
7.89655E+12,"Solução Oftálmica Patanol S 2,22mg/ml 2,5ml",Esgotado,82.63,78.5,82.63,Vera Cruz
7.89492E+12,Vynaxa 20mg 28 Comprimidos Revestidos,Esgotado,51.77,49.18,51.77,Vera Cruz
7.89664E+12,Zanidip 10mg 30 comprimidos revestidos,Disponível,153.93,119.91,63.11,Vera Cruz
7.89586E+12,Leite de Magnésia Phillips Original  350ml,Disponível,36.8,31.11,32.75,Vera Cruz
7.89626E+12,Diovan Amlo Fix 80mg + 5mg 28 comprimidos revestidos,Esgotado,176.33,167.51,58.78,Vera Cruz
7.89132E+12,Neo B 100mg + 100mg + 5000mcg 60 comprimidos revestidos,Disponível,169.75,130.63,68.75,Vera Cruz
7.896E+12,"Emistin 1mg/g + 0,05mg/g Creme Dermatológico 20g",Disponível,47.72,35.36,37.22,Vera Cruz
7.89864E+12,Suplemento Hidroeletrolítico Sorox Sabor Uva 550ml,Esgotado,12.9,11.28,11.87,Vera Cruz
7.89492E+12,Impere 10mg 30 comprimidos revestidos,Esgotado,187.82,146.31,51.34,Vera Cruz
7.89609E+12,Ondif 4mg 10 filmes,Disponível,49.18,44.38,46.72,Vera Cruz
7.89603E+12,Pradaxa 150mg 60 cápsulas,Disponível,418.48,318.04,111.59,Vera Cruz
7.89283E+12,Sepurin 120mg + 20mg 20 drágeas,Disponível,50.55,45.62,48.02,Vera Cruz
