Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SaoPaulo,Indisponível,372.0,13,0,Escova Massageadora Ever You 1 Unidade,0,0,0,0,0
SaoPaulo,Indisponível,372.0,16,0,Geleia Creme Capilar 2 em 1 Seda Boom Definição Intensa 500g,0,0,0,0,0
SãoPaulo,Disponível,372.0,13,7898040323141,Sustrate 10mg Farmoquímica 50 Comprimidos,"39,74","37,12",-6.6%,"37,12",-6.6%
SaoPaulo,Indisponível,371.0,12,0,"Ceftriaxona Dissódica Hemieptaidratada 1000mg Genérico Blau 1 Frasco Pó Solução + 3,5ml Ampola Diluente",0,0,0,0,0
SaoPaulo,Indisponível,371.0,12,0,"Lápis de Olho Vult Azul Modo Turbo 1,1g",0,0,0,0,0
SaoPaulo,Indisponível,371.0,13,0,Carb Up Gel Super Fórmula Probiótica Baunilha 30g - Carb UP Gel Super Fórmula Probiótica BAUNILHA 30g,0,0,0,0,0
SaoPaulo,Indisponível,371.0,12,0,Rk Diamond Pop Bouncy Gold Glow - Multi Glitter,0,0,0,0,0
SãoPaulo,Disponível,371.0,13,7896112406693,Valproato de Sódio 500mg Genérico Biolab 50 Comprimidos,"51,50","26,03",-49.5%,"26,03",-49.5%
SãoPaulo,Disponível,371.0,14,7896512900043,Sabonete em Barra Enxofre Antiacne Granado 90g,"10,59","7,91",-25.3%,"7,91",-25.3%
SaoPaulo,Indisponível,371.0,14,0,Pincel Kolinsky - Kota - Pincel Kolinsky N°2 - Kota,0,0,0,0,0
SãoPaulo,Disponível,371.0,14,7896061995071,Fralda Babysec Ultrasec Galinha Pintadinha XG 60 Unidades,"34,99","34,99",-,"34,99",-
SãoPaulo,Disponível,371.0,15,7891058006389,"Puran T4 12,5mcg Sanofi Aventis 30 Comprimidos Revestidos","14,39","14,39",-,"14,39",-
SaoPaulo,Indisponível,371.0,13,0,"Limbitrol 12,5mg + 5,0mg Medquímica 20 Cápsulas",0,0,0,0,0
SaoPaulo,Indisponível,371.0,13,0,"Dormonid 7,5mg FQM Melora 30 Cápsulas",0,0,0,0,0
SãoPaulo,Disponível,371.0,12,7500435169356,Kit Tresemmé Reconstrução e Força Shampoo 350ml + Condicionador 175ml,"37,59","31,99",-14.9%,"31,99",-14.9%
SãoPaulo,Disponível,371.0,12,7896714225890,Cloridrato de Tramadol 100mg/ml Genérico Neo Química 10ml Gotas,"87,59","33,95",-61.2%,"33,95",-61.2%
SaoPaulo,Indisponível,371.0,16,0,Barra Proteica Mini Pasta de Pistache 25g - Dobro,0,0,0,0,0
SãoPaulo,Disponível,371.0,14,7894916140478,Tobramicina 3mg/mL Genérico Legrand 1 Frasco com 5mL,"25,09","18,59",-25.9%,"18,59",-25.9%
SãoPaulo,Disponível,371.0,12,7891800364187,Algodão Cremer 25g,"6,45","6,45",-,"6,45",-
SaoPaulo,Indisponível,371.0,14,0,Cílios Postiços Sintético Volumoso Absolute New York Eternity 5D Silk Lash Sapphire 204 Preto 1 Par,0,0,0,0,0
SãoPaulo,Disponível,371.0,13,8410525146435,Bala Fini Tubes Morango Cítrico 80g,"8,59","8,59",-,"8,59",-
SaoPaulo,Indisponível,371.0,13,0,Escova para Desembaraçar WetBrush Naturals Marrom Médio,0,0,0,0,0
SaoPaulo,Indisponível,371.0,14,0,Ipsilon 500mg Zydus Nikkho 36 Comprimidos,0,0,0,0,0
SaoPaulo,Indisponível,371.0,13,0,Cocada Flormel Zero 35g,0,0,0,0,0
SãoPaulo,Disponível,371.0,15,7500435127257,Absorvente Always Noites Tranquilas Tamanho XXG Suave 10 Unidades,"9,99","9,09",-9.0%,"9,09",-9.0%
SãoPaulo,Disponível,370.0,14,7891000243015,Complemento Alimentar Nutren Senior Baunilha 370g,"99,87","88,99",-10.9%,"88,99",-10.9%
SaoPaulo,Indisponível,370.0,13,0,Máscara de Argila Negra Purificante - Hidramais - 200g,0,0,0,0,0
SãoPaulo,Disponível,370.0,13,7500435145251,Kit Lenço Umedecido Pampers Aloe Vera 4 Pacotes com 48 Unidades,"53,99","42,84",-20.7%,"42,84",-20.7%
SaoPaulo,Indisponível,370.0,14,0,Achocolatado Nescau Fast 280ml,0,0,0,0,0
SaoPaulo,Indisponível,370.0,13,0,Gel de Limpeza Facial com Vitamina C – Vitamin C Cleanser 100ml,0,0,0,0,0
SãoPaulo,Disponível,370.0,12,7891350011043,Creme de Barbear Bozzano Hidratação 65g,"12,99","9,78",-24.7%,"9,78",-24.7%
