Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoPaulo;7891150044562;Condicionador Dove Baby Hidratação Enriquecida Cabelos Cacheados 200ml;Disponível;18,59;18,59;-;18,59;-;Condicionador;619035;https://www.drogariasaopaulo.com.br/condicionador-dove-baby-hidratacao-enriquecida-cabelos-cacheados-200ml/p
SãoPaulo;4005800178382;Gel de Limpeza Eucerin PH5 250ml;Disponível;89,99;89,90;-0.1%;89,90;-0.1%;Dermocosméticos/Gel;198994;https://www.drogariasaopaulo.com.br/gel-de-limpeza-eucerin-ph5-syndet-250ml/p
SãoPaulo;7791293022567;Desodorante Antitranspirante Aerosol Masculino Rexona V8 72 horas 150ml;Disponível;19,49;19,49;-;19,49;-;Desodorante;464465;https://www.drogariasaopaulo.com.br/desodorante-rexona-v8-masculino-aerosol-90g/p
SãoPaulo;7899706135771;Protetor Solar Corporal L'Oréal Paris Solar Expertise Supreme Protect 4 FPS30 200ml;Disponível;68,99;53,72;-22.1%;53,72;-22.1%;Protetor Solar;580880;https://www.drogariasaopaulo.com.br/protetor-solar-loreal-expertise-supreme-fps-30-200ml/p
SãoPaulo;7896007550463;Absorvente Protetor Diário Intimus® Tecnologia Antibacteriana 15 Unidades;Disponível;6,69;4,99;-25.4%;4,99;-25.4%;Protetor Diário;688134;https://www.drogariasaopaulo.com.br/protetor-diario-intimus-antibacteriana-15-unidades/p
SãoPaulo;7896261012929;Galvus Vildagliptina 50mg 28 Comprimidos;Disponível;134,01;124,73;-6.9%;124,73;-6.9%;Medicamentos;186678;https://www.drogariasaopaulo.com.br/galvus-50mg-novartis-biociencias-28-comprimidos/p
SãoPaulo;7896255762205;Synthroid Levotiroxina Sódica 137mg 30 Comprimidos;Disponível;60,93;60,93;-;60,93;-;Medicamentos;185353;https://www.drogariasaopaulo.com.br/synthroid-137mg-abbott-30-comprimidos/p
SãoPaulo;7899706148511;Protetor Solar Corporal Vichy FPS 70 Ideal Soleil Hydrasoft 200ml;Disponível;151,99;114,43;-24.7%;114,43;-24.7%;Dermocosméticos/Protetor Solar;634980;https://www.drogariasaopaulo.com.br/vichy-ideal-soleil-hydra-soft-fps70-200ml-loreal-brasil/p
SãoPaulo;7896222718846;Preservativo Lubrificado Olla Sensitive 8 Unidades;Disponível;28,59;28,41;-0.6%;28,41;-0.6%;Camisinha;666513;https://www.drogariasaopaulo.com.br/preservativo-lubrificado-olla-sensitive-leve-8-pague-6-/p
SãoPaulo;7894900501001;Isotônico Powerade Sport Uva 500ml;Disponível;10,59;9,99;-5.7%;9,99;-5.7%;Isotônico;641880;https://www.drogariasaopaulo.com.br/isotonico-powerade-sport-uva-500ml/p
SãoPaulo;7891177801308;Creme Hidratante Nivea Lata 97g;Disponível;43,59;38,09;-12.6%;38,09;-12.6%;Hidratante;109134;https://www.drogariasaopaulo.com.br/creme-tratamento-nivea-97g/p
SãoPaulo;7896422507097;Cloridrato de Ciprofloxacino 500mg Genérico Medley 7 Comprimidos;Disponível;48,05;19,59;-59.2%;19,59;-59.2%;Medicamentos;201995;https://www.drogariasaopaulo.com.br/cloridrato-de-ciprofloxacino-500mg-generico-medley-7-comprimidos/p
SãoPaulo;7896006230052;Colírio Drusolol Dorzolamida 20mg/ml + Maleato de Timolol 5mg/ml 5ml;Disponível;104,01;89,99;-13.5%;89,99;-13.5%;Medicamentos;314978;https://www.drogariasaopaulo.com.br/drusolol-colirio-5ml/p
SãoPaulo;7894916501736;Neutrofer Fólico Glicinato Ferroso 250mg/ml + Ácido Fólico 0,2mg/ml 30ml Gotas;Disponível;64,36;60,99;-5.2%;60,99;-5.2%;Medicamentos;14540;https://www.drogariasaopaulo.com.br/neutrofer-folico-30ml-gotas/p
SãoPaulo;7896658031892;Biomag Cloridrato De Sibutramina 15mg 60 Cápsulas;Disponível;118,48;103,99;-12.2%;103,99;-12.2%;Medicamentos;633135;https://www.drogariasaopaulo.com.br/biomag-15mg-60-capsulas---b2-ache/p
SãoPaulo;7896004780061;Pós Sol Caladryl Loção 100ml;Disponível;41,59;31,89;-23.3%;31,89;-23.3%;Pós Sol;694614;https://www.drogariasaopaulo.com.br/pos-sol-caladryl-cellera-farma-locao-100ml/p
SãoPaulo;7891104393067;Adoçante Líquido Adocyl Sacarina 200ml;Disponível;8,59;8,49;-1.2%;8,49;-1.2%;Adoçante;338621;https://www.drogariasaopaulo.com.br/adocante-adocyl-gotas-200ml-/p
SãoPaulo;7896013544128;Tinta de Cabelo Embelleze Maxton Creme 6.7 Chocolate;Disponível;13,99;12,69;-9.3%;12,69;-9.3%;Tinta de Cabelo;369250;https://www.drogariasaopaulo.com.br/kit-tintura-pratico-maxton-6-7-chocolate/p
SãoPaulo;7897595624642;Amoxicilina 500mg + Clavulanato de Potássio 125mg Genérico Sandoz 21 Comprimidos;Disponível;157,57;65,39;-58.5%;65,39;-58.5%;Medicamentos;503711;https://www.drogariasaopaulo.com.br/amoxicilina-500mg-clavulanato-de-potassio-125mg-generico-sandoz-do-brasil-21-comprimidos/p
SãoPaulo;7896018703704;Sabonete Intimus Defesa Natural  200ml;Disponível;27,99;24,99;-10.7%;24,99;-10.7%;Sabonete;599441;https://www.drogariasaopaulo.com.br/sabonete-liquido-intimo-intimus-fresh-200ml/p
SãoPaulo;7898946495065;Algodão Hidrófilo Ever Care 50g;Disponível;6,99;6,29;-10.0%;6,29;-10.0%;Algodão;656410;https://www.drogariasaopaulo.com.br/algodao-hidrofilo-ever--50g/p
SãoPaulo;7891350034844;Gel Condicionador Bozzano Média Fixação Fator 2 300g;Disponível;16,99;16,99;-;16,99;-;Gel de Cabelo;148555;https://www.drogariasaopaulo.com.br/gel-fixador-bozzano-brilho-molhado-300g/p
SãoPaulo;7896000672582;Conjunto para Cabelo Soft Kuka Rosa 7258;Disponível;31,59;30,99;-1.9%;30,99;-1.9%;Escova de Cabelo;515540;https://www.drogariasaopaulo.com.br/conjunto-para-cabelo-kuka-rosa-7258/p
SãoPaulo;7891150037465;Condicionador Seda Cachos Definidos 325ml;Disponível;18,99;16,99;-10.5%;16,99;-10.5%;Condicionador;549193;https://www.drogariasaopaulo.com.br/condicionador-seda-cachos-definidos-325ml/p
SãoPaulo;8412300813006;Pós Barba Bálsamo Nivea Men Original Protect 100ml;Disponível;56,99;50,99;-10.5%;50,99;-10.5%;Pós Barba;21911;https://www.drogariasaopaulo.com.br/balsamo-pos--barba-nivea-men-100ml/p
SãoPaulo;7891177981017;Sabonete Líquido Fiorucci Erva Doce Refil 440ml;Disponível;12,59;10,44;-17.1%;10,44;-17.1%;Sabonete;578991;https://www.drogariasaopaulo.com.br/sabonete-liquido-fiorucci-erva-doce-refil-440ml/p
SãoPaulo;7891317424565;Meloxicam 15mg/ml Genérico Eurofarma 5ml Injetável;Disponível;52,06;33,99;-34.7%;33,99;-34.7%;Medicamentos;129160;https://www.drogariasaopaulo.com.br/meloxicam-15mgml-5x1-injetavel-generico-ems-5ml/p
SãoPaulo;3499320008198;Sabonete em barra Cetaphil Limpeza Suave 127g;Disponível;34,99;27,99;-20.0%;27,99;-20.0%;Dermocosméticos/Sabonete;671720;https://www.drogariasaopaulo.com.br/sabonete-barra-pele-sensivel-cetaphil-127gr-galderma/p
SãoPaulo;7896206403324;Selozok Fix Felodipino 5mg + Tartarato de Metoprolol 50mg 30 Comprimidos;Disponível;95,08;89,99;-5.4%;89,99;-5.4%;Medicamentos;356190;https://www.drogariasaopaulo.com.br/selozok-fix-50-5-30-comprimidos/p
SãoPaulo;7896658002687;Parasin Albendazol 400mg 1 Comprimido Mastigável;Disponível;17,64;16,42;-6.9%;16,42;-6.9%;Medicamentos;38806;https://www.drogariasaopaulo.com.br/parasin-400mg-ache-1-comprimido-mastigavel/p
SãoPaulo;7891010877620;Condicionador Johnson's Baby 400ml;Disponível;39,99;31,99;-20.0%;31,99;-20.0%;Condicionador;206750;https://www.drogariasaopaulo.com.br/condicionador-jonhsons-baby-400ml/p
SãoPaulo;7891317489700;Vast Atorvastatina Cálcica 20mg 30 comprimidos revestidos;Disponível;97,60;89,26;-8.5%;89,26;-8.5%;Medicamentos;472174;https://www.drogariasaopaulo.com.br/vast-20mg-eurofarma-30-comprimidos-revestidos/p
SãoPaulo;7896226100296;Fitoterápico Pasalix PI 500mg 20 Comprimidos Revestidos;Disponível;68,08;50,48;-25.9%;50,48;-25.9%;Remédios;637149;https://www.drogariasaopaulo.com.br/pasalix-pi-500mg-marjan-farma-20-comprimidos-revestidos/p
SãoPaulo;7896372505006;Vasoprotetor e Fitoterápico Castanha da Índia 100mg 30 Drágeas;Disponível;61,59;61,59;-;61,59;-;Remédios;3115;https://www.drogariasaopaulo.com.br/castanha-da-india-atalaia-100mg-c-30-drageas/p
SãoPaulo;7896658000089;Creme Hidratante Millar Para os Seios 30g;Disponível;72,99;57,58;-21.1%;57,58;-21.1%;Hidratante;265608;https://www.drogariasaopaulo.com.br/millar-ache-30g/p
SãoPaulo;7898941911065;Complemento Alimentar Sustagen Kids Sabor Chocolate 350g;Disponível;38,90;35,01;-10.0%;35,01;-10.0%;Leite;39381;https://www.drogariasaopaulo.com.br/suplemento-alimentar-sustagen-kids-chocolate-380g/p
SãoPaulo;7896025523913;Limpador de Pincéis de Maquiagem em Silicone Marco Boni Rosa;Disponível;13,99;13,99;-;13,99;-;Limpador de Pincel;647810;https://www.drogariasaopaulo.com.br/limpador-de-pinceis-de-maquiagem-marco-boni-silicone-rosa-marco-boni/p
SãoPaulo;7896658002939;Novamox 2x Amoxicilina 875mg + Clavulanato de Potássio 125mg 20 Comprimidos Revestidos;Disponível;186,75;164,63;-11.8%;164,63;-11.8%;Medicamentos;71005;https://www.drogariasaopaulo.com.br/novamox-2x875mg-125mg-ache-20-comprimido-revestidos/p
SãoPaulo;7897705202364;Xultophy Insulina Degludeca 100U/ml + Liraglutida 3,6mg/ml 3ml Solução Injetável;Disponível;322,53;240,56;-25.4%;240,56;-25.4%;Medicamentos;656070;https://www.drogariasaopaulo.com.br/xultophy-1-sistema-de-aplicacao-com-3ml-de-solucao-novo-nordisk/p
SãoPaulo;7898946495171;Antisséptico Ever Care Spray 30ml;Disponível;7,99;7,99;-;7,99;-;Enxaguante Bucal;655910;https://www.drogariasaopaulo.com.br/antisseptico-ever-spray-lifar/p
SãoPaulo;7897930777682;Loção Hidratante Advanced Cetaphil 226g;Disponível;105,99;84,99;-19.8%;84,99;-19.8%;Dermocosméticos/Hidratante;215384;https://www.drogariasaopaulo.com.br/locao-hidratante-advanced-cetaphil-226g/p
SãoPaulo;7896255716987;Synthroid Levotiroxina Sódica 150mcg 30 Cápsulas;Disponível;63,12;63,12;-;63,12;-;Medicamentos;47635;https://www.drogariasaopaulo.com.br/synthroid-150mcg-abbott-30-capsulas/p
SãoPaulo;7898126400346;Shampoo Bio Extratus Jaborandi 250ml;Disponível;47,99;37,99;-20.8%;37,99;-20.8%;Shampoo;315362;https://www.drogariasaopaulo.com.br/shampoo-bio-extratus-jaborandi-250ml/p
SãoPaulo;7897411610750;Laxante Lactulona 667mg/ml 120ml Ameixa;Disponível;62,02;54,44;-12.2%;54,44;-12.2%;Remédios;21555;https://www.drogariasaopaulo.com.br/lactulona-ameixa-xarope-daiichi-sankyo-120ml/p
SãoPaulo;7896658002113;Brondilat Acebrofilina 10mg/mL 120ml Xarope Adulto;Disponível;62,33;55,93;-10.3%;55,93;-10.3%;Medicamentos;90913;https://www.drogariasaopaulo.com.br/brondilat-adulto-50mg-5ml-xarope-120ml/p
SãoPaulo;7896007548118;Absorvente Protetor Diário Intimus® Discreto Ultrafino 80 Unidades;Disponível;24,99;18,99;-24.0%;18,99;-24.0%;Absorvente;599549;https://www.drogariasaopaulo.com.br/protetor-diario-intimus-days-flexivel-80-unidades/p
SãoPaulo;7896422500883;Fluxocor 40mg Medley 30 Comprimidos Revestidos;Disponível;54,92;53,99;-1.7%;53,99;-1.7%;Medicamentos;535311;https://www.drogariasaopaulo.com.br/fluxocor-40mg-medley-30-comprimidos-revestidos/p
SãoPaulo;7899547502565;Sulfato de Salbutamol 0,48mg/mL Genérico Prati 120ml;Disponível;8,10;6,59;-18.6%;6,59;-18.6%;Medicamentos;538671;https://www.drogariasaopaulo.com.br/sulfato-de-salbutamol-2-0mg-ml-generico-prati-120ml/p
SãoPaulo;80761761;Kinder Bueno White 39g;Disponível;12,59;9,99;-20.7%;9,99;-20.7%;Chocolate;600164;https://www.drogariasaopaulo.com.br/kinder-bueno-white-39g/p
SãoPaulo;4210201097891;Escova Dental Elétrica Oral-B Vitality 100 Precision Clean 220 Volts;Disponível;278,99;250,99;-10.0%;250,99;-10.0%;Escova de Dente;516554;https://www.drogariasaopaulo.com.br/escova-dental-eletrica-oral-b-d12-vitality-precision-clean-220v/p
SãoPaulo;7896658000805;Colpistatin Benzoilmetronidazol 62,5mg/g + Nistatina 25.000UI/g + Cloreto de Benzalcônio 1,25mg/g 40g Creme Vaginal + 10 Aplicadores;Disponível;60,81;52,42;-13.8%;52,42;-13.8%;Medicamentos;43184;https://www.drogariasaopaulo.com.br/colpistatin-vaginal-ache-creme-40g10-aplicadores/p
SãoPaulo;7896241270363;Drenison Fludroxicortida 0,125mg/g 30g Creme;Disponível;47,86;39,59;-17.3%;39,59;-17.3%;Medicamentos;5738;https://www.drogariasaopaulo.com.br/drenison-creme-30g/p
