Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoJoão;7896523214047;Sildenafil 50mg 4 Comprimidos Revestidos Genérico Cimed;Disponível;19,75;15,29;-22.6%;15,29;-22.6%;Saúde Do Homem;1249983;https://lojavtex.saojoaofarmacias.com.br/sildenafil-50mg-4-comprimidos-revestidos-generico-cimed-10028622/p
SãoJoão;7896523200491;Loratamed D Xarope 60ml Cimed;Disponível;24,90;18,89;-24.1%;18,89;-24.1%;Alergias E Infecções;1249970;https://lojavtex.saojoaofarmacias.com.br/loratamed-d-xarope-60ml-cimed-10038584/p
SãoJoão;7896094927889;Eparema 10 Drágeas Hypera;Disponível;24,70;24,70;-;24,70;-;Estômago E Gastrointestinais;1249939;https://lojavtex.saojoaofarmacias.com.br/eparema-10-drageas-hypera-10032975/p
SãoJoão;7896714275192;Ivermectina 6mg 2 Comprimidos Genérico Neo Química;Disponível;21,40;19,59;-8.5%;19,59;-8.5%;Antiparasitários;1249828;https://lojavtex.saojoaofarmacias.com.br/ivermectina-6mg-2-comprimidos-generico-neo-quimica-10033583/p
SãoJoão;7896714273785;Simeticona 125mg Cápsulas 10 Unidades Genérico Neo Química;Disponível;24,80;24,80;-;24,80;-;Estômago E Gastrointestinais;1249786;https://lojavtex.saojoaofarmacias.com.br/simeticona-125mg-capsulas-10-unidades-generico-neo-quimica-10020174/p
SãoJoão;7896714250946;Flomicin 100mg 12 comprimidos Neo Química;Disponível;24,90;24,90;-;24,90;-;Estômago E Gastrointestinais;1249771;https://lojavtex.saojoaofarmacias.com.br/flomicin-100mg-12-comprimidos-neo-quimica-1000099/p
SãoJoão;7896523228204;Cimespray Descongestionante e Fluidificante Nasal 50ml;Disponível;18,90;18,90;-;18,90;-;Gripe E Resfriado;1249759;https://lojavtex.saojoaofarmacias.com.br/cimespray-descongestionante-e-fluidificante-nasal-50ml-10038578/p
SãoJoão;7896523228419;Praalergia 120mg 6 Comprimidos Cimed;Disponível;19,90;17,59;-11.6%;17,59;-11.6%;Alergias E Infecções;1249756;https://lojavtex.saojoaofarmacias.com.br/praalergia-120mg-6-comprimidos-cimed-10038600/p
SãoJoão;7896523228150;Xarope Cimetosse 120ml Mel e Menta Cimed;Disponível;24,90;24,90;-;24,90;-;Gripe E Resfriado;1249753;https://lojavtex.saojoaofarmacias.com.br/xarope-cimetosse-120ml-mel-e-menta-cimed-10038287/p
SãoJoão;7896714223841;Nimesulida Genérico Neo Química 100mg 12 Comprimidos;Disponível;26,17;26,17;-;26,17;-;Anti-inflamatórios;1249737;https://lojavtex.saojoaofarmacias.com.br/nimesulida-generico-neo-quimica-100mg-12-comprimidos-100000904/p
SãoJoão;7896658039492;Runner 5mg 30 Comprimidos Revestidos Aché;Disponível;24,75;24,75;-;24,75;-;Cardiológicos;1248886;https://lojavtex.saojoaofarmacias.com.br/runner-5mg-30-comprimidos-revestidos-ache-10033132/p
SãoJoão;7896094922228;Eparema Hortelã 10ml 4 Flaconetes Hypera;Disponível;20,23;20,23;-;20,23;-;Estômago E Gastrointestinais;1248871;https://lojavtex.saojoaofarmacias.com.br/eparema-hortela-10ml-4-flaconetes-hypera-10030960/p
SãoJoão;7896658046520;Totti SL 10mg 10 Comprimidos Aché;Disponível;29,57;25,59;-13.5%;25,59;-13.5%;Anti-inflamatórios;1248726;https://lojavtex.saojoaofarmacias.com.br/totti-sl-10mg-10-comprimidos-ache-10034638/p
SãoJoão;7896004774527;Nitazoxanida 20mg/ml Suspensão Oral 45ml Genérico Germed;Disponível;29,24;26,59;-9.1%;26,59;-9.1%;Antiparasitários;1248597;https://lojavtex.saojoaofarmacias.com.br/nitazoxanida-20mg-ml-suspensao-oral-45ml-generico-germed-10031506/p
SãoJoão;7896676442670;Codein 30mg 12 Comprimidos Cristália (A2);Disponível;25,16;25,16;-;25,16;-;Analgésicos;1248491;https://lojavtex.saojoaofarmacias.com.br/codein-30mg-12-comprimidos-cristalia--a2--10029642/p
SãoJoão;7898687730470;Suspensão Oral Nitazoxanida 20mg/ml 45ml Genérico Althaia;Disponível;19,75;19,75;-;19,75;-;Antiparasitários;1248270;https://lojavtex.saojoaofarmacias.com.br/suspensao-oral-nitazoxanida-20mg-ml-45ml-generico-althaia-10038508/p
SãoJoão;7898569765439;Prednisolona Genérico Althaia 20mg 10 Comprimidos Revestidos;Disponível;21,04;19,49;-7.4%;19,49;-7.4%;Alergias E Infecções;1248050;https://lojavtex.saojoaofarmacias.com.br/prednisolona-generico-althaia-20mg-10-comprimidos-revestidos-10023466/p
SãoJoão;7896637034067;Miosan Odt 10mg 10 Comprimidos Apsen;Disponível;23,21;21,89;-5.7%;21,89;-5.7%;Analgésicos;1254052;https://lojavtex.saojoaofarmacias.com.br/miosan-odt-10mg-10-comprimidos-apsen-10036959/p
SãoJoão;7896112119609;Cimetidina 200mg 20 Comprimidos Genérico Teuto;Disponível;32,92;29,29;-11.0%;29,29;-11.0%;Estômago E Gastrointestinais;1253967;https://lojavtex.saojoaofarmacias.com.br/cimetidina-200mg-20-comprimidos-generico-teuto-10100244/p
SãoJoão;7898037080804;Arnica Gel 60g Total Almeida Prado;Disponível;29,99;29,99;-;29,99;-;Anti-inflamatórios;1253285;https://lojavtex.saojoaofarmacias.com.br/arnica-gel-60g-total-almeida-prado-10036135/p
SãoJoão;7500435245357;Vick Drops Pastilhas Mentol 20un Procter;Disponível;17,99;15,29;-15.0%;15,29;-15.0%;Analgésicos;1252626;https://lojavtex.saojoaofarmacias.com.br/vick-drops-pastilhas-mentol-20un-procter-10040458/p
SãoJoão;7891317020507;Gaba ER 250mg 30 Comprimidos Eurofarma (C1);Disponível;33,86;29,79;-12.0%;29,79;-12.0%;Sistema Nervoso Central;1251450;https://lojavtex.saojoaofarmacias.com.br/gaba-er-250mg-30-comprimidos-eurofarma--c1--10039988/p
