Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
VeraCruz,Disponível,429.0,15,7896641803642,Proctyl 50mg/g + 10mg/g Pomada 10 bisnagas com 3g cada + 10 aplicadores,"95,69","83,25",-13.0%,"79,09",-17.3%
VeraCruz,Disponível,429.0,15,7891106906890,Allurene 2mg 28 comprimidos,0,0,0,0,0
VeraCruz,Disponível,429.0,13,7896004729381,"Hormoskin 40mg/g + 0,5mg/g + 0,1mg/g Creme Dermatológico 30g","180,86","56,67",-68.7%,"161,51",-10.7%
VeraCruz,Disponível,428.0,13,7896331704037,Emulsão Sanasar 250mg/ml 100ml,"25,51","20,15",-21.0%,"19,14",-25.0%
VeraCruz,Disponível,427.0,14,7896015560331,Sal de Frutas Eno Laranja 100g,"30,73","23,97",-22.0%,"22,77",-25.9%
VeraCruz,Disponível,427.0,15,7896641803048,Antiácido Pó Efervescente Estomazil Sabor Sem Sabor 6 envelopes com 5g cada,"74,25","66,83",-10.0%,"63,49",-14.5%
VeraCruz,Disponível,427.0,12,7896004759432,Esomex 40mg 56 comprimidos revestidos de liberação retardada,"166,40","55,47",-66.7%,"158,08",-5.0%
VeraCruz,Disponível,427.0,13,7896004810232,Dermobene 10mg/ml 20ml,0,0,0,0,0
VeraCruz,Disponível,427.0,14,7896714201108,Neo Fólico 5mg Neo Química 20 comprimidos revestidos,"13,71","9,32",-32.0%,"8,85",-35.4%
VeraCruz,Disponível,426.0,14,7898158690395,"Pediderm 0,2mg/ml  Loção 100ml","27,97","23,77",-15.0%,"22,58",-19.3%
VeraCruz,Disponível,426.0,14,7896658030369,Betadine XR 48mg 30 comprimidos,"87,46","71,72",-18.0%,"68,13",-22.1%
VeraCruz,Disponível,426.0,14,7891142171757,"Antialérgico Polaramine Xarope 0,4mg/ml Sabor de Frutas 120ml","39,98","37,18",-7.0%,"35,32",-11.7%
VeraCruz,Disponível,426.0,13,7896261009554,Diovan 320mg 28 comprimidos revestidos,0,0,0,0,0
