Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
VeraCruz;7896676412192;RISPERIDON 2MG C/30 CPR;Disponível;78,16;57,17;-26.9%;60,18;-23.0%;Psicotrópicos;24505;https://www.drogariaveracruz.com.br/risperidon-2mg-c30-cpr/p
VeraCruz;7898074617780;Spidufen 770mg Sabor Damasco 10 envelopes com 3g;Disponível;37,12;32,09;-13.6%;33,78;-9.0%;Dor e Febre > Analgésico;18678;https://www.drogariaveracruz.com.br/spidufen-770mg-sabor-damasco-10-envelopes-com-3g/p
VeraCruz;7898948648292;Utrogestan 200mg com 42 cápsulas;Disponível;241,69;192,87;-20.2%;67,67;-72.0%;Hormônios;15669;https://www.drogariaveracruz.com.br/utrogestan-200mg-com-42-capsulas/p
VeraCruz;7896112480709;Xefo 8mg 20 comprimidos revestidos;Disponível;36,28;29,98;-17.4%;31,56;-13.0%;Dor e Febre > Anti-Inflamatórios;18010;https://www.drogariaveracruz.com.br/xefo-8mg-20-comprimidos-revestidos/p
VeraCruz;5702157127054;EBIX 10MG C/28 CPR;Disponível;0;0;0;0;0;Psicotrópicos;24799;https://www.drogariaveracruz.com.br/ebix-10mg-c28-cpr/p
VeraCruz;7896241265406;Suprelle 1mg + 0,5mg 28 comprimidos revestidos;Disponível;0;0;0;0;0;Saúde Feminina > Reposição Hormonal;17957;https://www.drogariaveracruz.com.br/suprelle-1mg-05mg-28-comprimidos-revestidos/p
VeraCruz;7896014673124;Ferropurum 20mg/ml 5 ampolas de 5ml;Disponível;90,54;86,01;-5.0%;90,54;-0.0%;Sistema Imunológico;21679;https://www.drogariaveracruz.com.br/ferropurum-20mgml-5-ampolas-de-5ml/p
VeraCruz;7896658015380;Trezor 10mg 30 comprimidos revestidos;Disponível;42,34;33,38;-21.2%;35,14;-17.0%;Colesterol e Triglicerídeos;17522;https://www.drogariaveracruz.com.br/trezor-10mg-30-comprimidos-revestidos/p
VeraCruz;5702191008524;PICATO - 150mcg/g, 3 bisnagas com 0,47g de gel de uso dermatológico;Disponível;0;0;0;0;0;Pele e Mucosa;15948;https://www.drogariaveracruz.com.br/picato-150mcgg-3-bisnagas-com-047g-de-gel-de-uso-dermatologico/p
VeraCruz;7896094929371;Descon Xarope 120ml;Disponível;21,73;16,72;-23.1%;17,60;-19.0%;Sistema Respiratório > Descongestionantes;22322;https://www.drogariaveracruz.com.br/descon-xarope-120ml/p
