Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Novolin R Penfil 100ui/Ml 5x3ml Novo Nor;235.0;12;São João;7897705203637.0;Poviztra Semaglutida 1,7mg 3ml Novo Nordisk;Disponível;1332,85;1086,09;-18.5%;1086,09;-18.5%;Medicamentos > Emagrecer;10050653.0;https://www.saojoaofarmacias.com.br/poviztra-semaglutida-1-7mg-3ml-novo-nordisk-10050653/p
Drospirenona + Etinilestradiol Genérico EMS 3mg + 0,02mg 72 Comprimidos Revestidos;235.0;12;São João;7896004759722.0;Drosperinona + Etinilestradiol Genérico EMS 3mg + 0,02mg 72 Comprimidos Revestidos;Disponível;188,69;89,90;-52.4%;89,90;-52.4%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10001158.0;https://www.saojoaofarmacias.com.br/drosperinona---etinilestradiol-generico-ems-3mg---0-02mg-72-comprimidos-revestidos-10001158/p
Sincro XR 12,5mg 30 Comprimidos Momenta (C1);235.0;13;São João;7896004731308.0;Carvedilol Genérico EMS 12,5mg 30 Comprimidos;Disponível;70,08;22,99;-67.2%;22,99;-67.2%;Medicamentos > Cardiológicos > Pressão Alta;100003174.0;https://www.saojoaofarmacias.com.br/carvedilol-generico-ems-12-5mg-30-comprimidos-100003174/p
Serenata 100mg 30 Cápsulas Torrent (C1);235.0;12;São João;8903855092782.0;Rosucor Eze 10mg + 10mg 30 Cápsulas Torrent;Disponível;73,42;60,19;-18.0%;60,19;-18.0%;Medicamentos > Cardiológicos > Colesterol;10040252.0;https://www.saojoaofarmacias.com.br/rosucor-eze-10mg---10mg-30-capsulas-torrent-10040252/p
Quet 25mg 30 Comprimidos Revestidos Cl Eurofarma (C1);235.0;12;São João;7891317017378.0;Sertralina Revestido Eurofarma 25mg 30 Comprimidos Genérico (C1);Disponível;80,69;42,09;-47.8%;42,09;-47.8%;Medicamentos > Sistema Nervoso Central > Depressão;100005517.0;https://www.saojoaofarmacias.com.br/sertralina-revestido-eurofarma-25mg-30-comprimidos-generico--c1--100005517/p
Flutinol 1mg/ml frasco 5ml;235.0;15;São João;7896023756801.0;Figatil Flaconete 10ml;Disponível;2,49;2,19;-12.0%;2,19;-12.0%;Medicamentos > Estômago E Gastrointestinais > Má Digestão;1000438.0;https://www.saojoaofarmacias.com.br/figatil-flaconete-10ml-1000438/p
Gestinol 0,075mg/0,030mg 28 Comprimidos Revestidos;235.0;12;São João;7896094203068.0;Gestinol 0,030mg+0,075mg 84 Comprimidos Revestidos Libbs;Disponível;163,02;114,11;-30.0%;114,11;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;100001759.0;https://www.saojoaofarmacias.com.br/gestinol-0-030mg-0-075mg-84-comprimidos-revestidos-libbs-100001759/p
Provance Imune 10ml Gotas Aché;235.0;14;São João;7896658005305.0;Flogoral Spray 30ml Menta Aché;Disponível;42,28;39,19;-7.3%;39,19;-7.3%;Medicamentos > Analgésicos > Dor De Garganta;1074.0;https://www.saojoaofarmacias.com.br/flogoral-spray-30ml-menta-ache-1074/p
Glimepirida 4mg Genérico Cimed 30 Comprimidos;235.0;14;São João;7896523210940.0;Glimepirida 4mg Genérico Cimed 30 Comprimidos;Disponível;53,57;19,90;-62.9%;19,90;-62.9%;Medicamentos > Diabetes;10103541.0;https://www.saojoaofarmacias.com.br/glimepirida-4mg-generico-cimed-30-comprimidos-10103541/p
Cimelide 100mg 12 Comprimidos;235.0;12;São João;7896523212685.0;Nimesulida 100mg Genérico Cimed 12 Comprimidos;Disponível;25,22;5,69;-77.4%;5,69;-77.4%;Medicamentos > Anti-inflamatórios;100018675.0;https://www.saojoaofarmacias.com.br/nimesulida-100mg-generico-cimed-12-comprimidos-100018675/p
Carbolitium Cr 450mg 60 Comprimidos Eurofarma (C1);235.0;12;São João;7891317013622.0;Carbolitium Cr 450mg 60 Comprimidos Eurofarma (C1);Disponível;143,07;115,09;-19.6%;115,09;-19.6%;Medicamentos > Sistema Nervoso Central > Antipsicóticos;10029478.0;https://www.saojoaofarmacias.com.br/carbolitium-cr-450mg-60-comprimidos-eurofarma--c1--10029478/p
Probid 5 Cápsulas;235.0;13;São João;7896637032209.0;Probid 30 Cápsulas;Disponível;135,90;135,90;-0.0%;135,90;-0.0%;Medicamentos > Estômago E Gastrointestinais > Diarreia;10023736.0;https://www.saojoaofarmacias.com.br/probid-30-capsulas-10023736/p
Domperix 1mg 100ml;235.0;14;São João;7896637022576.0;Xarope Retemic 1mg 120ml;Disponível;59,43;50,99;-14.2%;50,99;-14.2%;Medicamentos > Saúde Da Mulher > Ginecológicos;4993.0;https://www.saojoaofarmacias.com.br/xarope-retemic-1mg-120ml-4993/p
