Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
Drogaria São Paulo,Disponível,197.0,13,7891058003166.0,Olmesartana Medoxomila 40mg Genérico Medley 30 Comprimidos Revestidos,"53,29","42,59",-20.1%,"42,59",-20.1%
FarmaPonte,Esgotado,197.0,14,0.0,"Batom Líquido Matte Aveludado Karen Bachini Andrômeda 3,8 ml",0,0,0,0,0
FarmaPonte,Esgotado,197.0,13,0.0,Escova Dental Curaprox Ultra Soft CS Smart Cores Sortidas,0,0,0,0,0
FarmaPonte,Esgotado,197.0,14,0.0,"Brilho Labial Vermelho Mariana Saad By Océane - Lip Glossy Berry Pink 6,3g",0,0,0,0,0
FarmaPonte,Esgotado,196.0,12,0.0,Mascara Pvc Para Face Adulto - Oxigel,0,0,0,0,0
FarmaPonte,Esgotado,196.0,13,0.0,Catharine Hill Angel Spark By Pri Lessa - Iluminador Em Pó 2g - Snow-A1,0,0,0,0,0
FarmaPonte,Esgotado,196.0,14,0.0,"Lápis Para Olhos Vult Preto Intenso 1,1g",0,0,0,0,0
FarmaPonte,Esgotado,196.0,13,0.0,Chocolate Lacta Ao Leite 34g,0,0,0,0,0
FarmaPonte,Esgotado,196.0,12,0.0,Bombom sabor morango pote 400g - Happy Jazam,0,0,0,0,0
Drogaria São Paulo,Disponível,196.0,12,7898096577413.0,Loncord 40mg Diffucap 20 Cápsulas,"36,38","36,38",-,"36,38",-
Drogaria São Paulo,Disponível,196.0,12,7898582380046.0,Tramal 50mg/ml Grunenthal 2ml Solução Intramuscular + 5 Ampolas,"104,86","93,05",-11.3%,"93,05",-11.3%
Drogaria São Paulo,Disponível,196.0,13,7896658001666.0,Beserol 300mg + 125mg + 50mg + 30mg Daudt 30 Comprimidos,"37,16","32,49",-12.6%,"32,49",-12.6%
FarmaPonte,Esgotado,195.0,12,0.0,Atentah 25mg Apsen 30 Cápsulas,0,0,0,0,0
Drogaria São Paulo,Disponível,195.0,13,7896112198246.0,Afopic 5mg Teuto 20 comprimidos,"13,44","8,90",-33.8%,"8,90",-33.8%
FarmaPonte,Esgotado,195.0,13,0.0,Synthroid 150mcg Abbott 30 Cápsulas,0,0,0,0,0
Drogaria São Paulo,Disponível,195.0,13,7898927564124.0,Hemitartarato de Zolpidem 5mg Genérico Zydus Nikkho 30 Comprimidos,"83,53","58,79",-29.6%,"58,79",-29.6%
Drogaria São Paulo,Disponível,194.0,13,7898430192241.0,Vitamina D Pura Dprev 10000UI Myralis 8 Cápsulas,"44,19","44,19",-,"44,19",-
FarmaPonte,Esgotado,194.0,12,0.0,Bolsa Térmica Água Quente 1 Litro,0,0,0,0,0
FarmaPonte,Esgotado,194.0,12,0.0,Chocolate ao Leite Lacta 90g,0,0,0,0,0
FarmaPonte,Esgotado,194.0,13,0.0,Fio Dental Ever Care 100m + 25m 1 Unidade,0,0,0,0,0
FarmaPonte,Esgotado,194.0,12,0.0,Pasta de Dente Elmex Sensitive Professional Whitening Dentes Sensíveis 110g,0,0,0,0,0
Drogaria São Paulo,Disponível,193.0,12,7896112411413.0,Vaslip 20mg Zurita 60 Comprimidos,"90,68","69,99",-22.8%,"69,99",-22.8%
FarmaPonte,Esgotado,193.0,14,0.0,Emulsão Capilar Escabin Pro Tratamento de Infestação 100ml,0,0,0,0,0
FarmaPonte,Esgotado,193.0,15,0.0,Unhas Postiças Colors Corpus Red Corpus,0,0,0,0,0
Drogaria São Paulo,Disponível,192.0,12,7897595609854.0,Sinvastatina 20mg Genérico Sandoz 30 Comprimidos Revestidos,"123,59","10,99",-91.1%,"10,99",-91.1%
FarmaPonte,Esgotado,192.0,13,0.0,"Pé de Moça Pote com 20 unidades 1,1Kg - Clamel",0,0,0,0,0
Drogaria São Paulo,Disponível,192.0,14,7897316802212.0,Colírio Pilocarpina 10mg/ml Allergan 10ml,"31,80","30,59",-3.8%,"30,59",-3.8%
FarmaPonte,Esgotado,192.0,12,0.0,Esponja de Banho Ever Care Esponja Orgânica 1 Unidade,0,0,0,0,0
FarmaPonte,Esgotado,192.0,13,0.0,Bico Mamadeira Chicco Step Up Fluxo Médio 2M+ 1 Unidade,0,0,0,0,0
FarmaPonte,Esgotado,192.0,13,0.0,Batom Líquido Rosa Matte - Color My Lips Hype Océane Edition 4g,0,0,0,0,0
FarmaPonte,Esgotado,191.0,13,0.0,Spray Finalizador Eico Salão em Casa Cronograma Profissional 120ml,0,0,0,0,0
FarmaPonte,Esgotado,191.0,13,0.0,Pudim Lowçucar Zero Açucares Sabor Chocolate 200G,0,0,0,0,0
FarmaPonte,Esgotado,191.0,12,0.0,Óleo Essencial Alecrim QT Cineol-Extra (40/50%) GT Marrocos 10ml - Laszlo,0,0,0,0,0
Drogaria São Paulo,Disponível,191.0,12,7891317014452.0,Percoide 40mg Momenta Farma 7 Comprimidos,"28,22","28,22",-,"28,22",-
Drogaria São Paulo,Disponível,191.0,13,7891045164993.0,Feldene 20mg Pfizer 10 Cápsulas,"169196,03","139169,90",-17.7%,"139169,90",-17.7%
FarmaPonte,Esgotado,191.0,13,0.0,Máscara de Tratamento Whey Fit Bomb 500g MedLeve,0,0,0,0,0
Drogaria São Paulo,Disponível,190.0,13,7891721029417.0,"Acetato de Ciproterona 2mg + Etinilestradio 0,035mg Genérico Merck 63 Comprimidos","55,17","37,99",-31.1%,"37,99",-31.1%
FarmaPonte,Esgotado,190.0,12,0.0,Reparador De Pontas Natutrat S.O.S Óleo De Argan Cuidado Diário  30ml,0,0,0,0,0
FarmaPonte,Esgotado,190.0,12,0.0,Lenço Removedor De Oleosidade Ever You 100 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,190.0,12,0.0,Máscara Disciplinante Capilar Lola Cosmetics Xapadinha 100g,0,0,0,0,0
FarmaPonte,Esgotado,190.0,14,0.0,Catharine Hill Angel Powder - Pó Facil 20g - A3,0,0,0,0,0
Drogaria São Paulo,Disponível,190.0,12,7898569766801.0,Vitamina D Tresdê 50.000UI Exeltis 4 Cápsulas,"78,44","46,90",-40.2%,"46,90",-40.2%
Drogaria São Paulo,Disponível,190.0,13,7896004705071.0,GynPro 200mg Exeltis 15 Cápsulas,"30,73","13,55",-55.9%,"13,55",-55.9%
FarmaPonte,Esgotado,190.0,13,0.0,Bauny Essentials Palette De Sombras Vegano - Paleta de Sombras,0,0,0,0,0
FarmaPonte,Esgotado,190.0,12,0.0,Mamadeira Kuka Aquarela Big Orto Com Alça Azul 330ml,0,0,0,0,0
Drogaria São Paulo,Disponível,190.0,12,7898040328191.0,Unitram 10mg Farmoquímica 30 Comprimidos Revestidos,"22,96","20,99",-8.6%,"20,99",-8.6%
FarmaPonte,Esgotado,189.0,14,0.0,Barra de cereal sabor cookies & cream 20g - NUTRY,0,0,0,0,0
Drogaria São Paulo,Disponível,189.0,12,7898040324506.0,Onua 75mcg Melora 84 Comprimidos,"89,42","86,12",-3.7%,"86,12",-3.7%
FarmaPonte,Esgotado,189.0,14,0.0,Creme para Pentear Pentear Seda Juntinhos Moana Cachos Encantados 300ml,0,0,0,0,0
Drogaria São Paulo,Disponível,189.0,12,7896714212081.0,Prednisona 5mg Genérico Neo Química 20 Comprimidos,"17,93","13,59",-24.2%,"13,59",-24.2%
Drogaria São Paulo,Disponível,189.0,12,7899095238763.0,Cloridrato De Metformina 850mg Genérico Geolab 30 Comprimidos,"12,92","6,54",-49.4%,"6,54",-49.4%
FarmaPonte,Esgotado,189.0,14,0.0,Glargilin 100UI/ml Biomm 1 Carpule com 3ml,0,0,0,0,0
Drogaria São Paulo,Disponível,189.0,13,8903855083087.0,Sumax 50mg Libbs 6 Comprimidos Revestidos,"465,31","391,04",-16.0%,"391,04",-16.0%
Drogaria São Paulo,Disponível,188.0,14,7897705203231.0,Insulina Humulin R 100UI Eli Lilly 10ml 1 Frasco Ampola,"67,36","35,59",-47.2%,"35,59",-47.2%
FarmaPonte,Esgotado,188.0,13,0.0,"Esperson N 2,5mg + 7,145mg Sanofi 20g Pomada",0,0,0,0,0
FarmaPonte,Esgotado,188.0,13,0.0,Gel Lubrificante Íntimo Lubs Vanilla Dream 50g,0,0,0,0,0
FarmaPonte,Esgotado,188.0,13,0.0,Pasta de Dente Colgate Sensitive Pro Alívio Repara Esmalte Dentes Sensíveis 110g,0,0,0,0,0
FarmaPonte,Esgotado,188.0,12,0.0,Faixa de Cabelo Azul - Headband Océane,0,0,0,0,0
FarmaPonte,Esgotado,188.0,12,0.0,Suco Del Valle Mais Uva 290ml,0,0,0,0,0
FarmaPonte,Esgotado,188.0,12,0.0,Leave In Lola Danos Vorazes 200ml,0,0,0,0,0
FarmaPonte,Esgotado,188.0,12,0.0,Esponja Para Banho Dupla Face Ponjita Anatômica Com Cordão + Esponja Facial,0,0,0,0,0
Drogaria São Paulo,Disponível,188.0,13,7898569766801.0,Vitamina D Tresdê 7.000UI Exeltis 8 Cápsulas,"78,44","46,90",-40.2%,"46,90",-40.2%
FarmaPonte,Esgotado,187.0,12,0.0,Gelatina Fixadora Me Defino Crespo Forever Liss 200g,0,0,0,0,0
FarmaPonte,Esgotado,187.0,13,0.0,Água Micelar Facial Antioleosidade Negra Rosa 200ml,0,0,0,0,0
Drogaria São Paulo,Disponível,187.0,12,7897322709758.0,Vitamina D Addera D3 50.000UI Hypera 4 Cápsulas,"142,88","142,88",-,"142,88",-
Drogaria São Paulo,Disponível,187.0,12,7896004744971.0,"Drospirenona 3mg + Etinilestradiol 0,02mg Genérico Germed 24 Comprimidos Revestidos","70,75","26,99",-61.9%,"26,99",-61.9%
FarmaPonte,Esgotado,187.0,13,0.0,Kit Cicatricure Creme Antissinais Redutor de Rugas 60g + Gel para Cicatrizes e Estrias 30g,0,0,0,0,0
FarmaPonte,Esgotado,187.0,12,0.0,Bico Mamadeira n° 2 Linha Clássica Philips Avent - SCF632/27,0,0,0,0,0
FarmaPonte,Esgotado,186.0,12,0.0,Desinchá Maçã Verde com Canela 10sch 15g,0,0,0,0,0
Drogaria São Paulo,Disponível,186.0,12,7896004708003.0,Prednisona 5mg Genérico Germed 20 Comprimidos,"17,72","8,39",-52.7%,"8,39",-52.7%
FarmaPonte,Esgotado,186.0,12,0.0,Massa Tipo Cabelo de Anjo Konjac 270g,0,0,0,0,0
FarmaPonte,Esgotado,186.0,13,0.0,Óleo Disciplinante Capilar Lola Cosmetics Xapadinha Brilho Ouro 50ml,0,0,0,0,0
FarmaPonte,Esgotado,185.0,13,0.0,Suplemento Alimentar Vitergan Master-N 30 Comprimidos,0,0,0,0,0
FarmaPonte,Esgotado,185.0,15,0.0,Elástico para Cabelo Ever You Prateado 12 Unidades,0,0,0,0,0
Drogaria São Paulo,Disponível,184.0,14,7899420506888.0,Clorana 25mg Sanofi Aventis 30 Comprimidos,"62,35","57,99",-7.0%,"57,99",-7.0%
FarmaPonte,Esgotado,184.0,15,0.0,Preservativo Camisinha Jontex Sensação Pele com Pele 12 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,184.0,14,0.0,Refrigerante Coca-Cola Lata 350ml,0,0,0,0,0
Drogaria São Paulo,Disponível,184.0,14,7896006234067.0,"Ciclo 21 0,15mg + 0,03mg União Química 21 Comprimidos","11,05","11,05",-,"11,05",-
FarmaPonte,Esgotado,184.0,12,0.0,Sabonete Facial Payout Higienizante Acnederm 210ml,0,0,0,0,0
FarmaPonte,Esgotado,184.0,14,0.0,Gelatina Liquida #Todecacho Estilização Salon Line 300g,0,0,0,0,0
Drogaria São Paulo,Disponível,184.0,13,7896112402435.0,"Flux SR 1,5mg Biolab 30 Comprimidos Revestidos","38,41","35,56",-7.4%,"35,56",-7.4%
FarmaPonte,Esgotado,183.0,13,0.0,Pasta de Dente Parodontax Flúor 90g,0,0,0,0,0
FarmaPonte,Esgotado,183.0,12,0.0,Refil Para Escova Interdental Curaprox Cilíndrico Cps 06 – 011 5 Unidades,0,0,0,0,0
