Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
FarmaPonte;7899824400812;Enax 200mg 30 Comprimidos;Disponível;99,42;85,74;-13.8%;87,49;-12.0%;Imunizante;21141;https://www.farmaponte.com.br/enax-200mg-com-30-comprimidos-revestidos/p
FarmaPonte;7891317001438;Cefadroxila 500mg Eurofarma 8 Cápsulas;Disponível;0;42,46;0;0;0;Antibiotico;19169;https://www.farmaponte.com.br/cefadroxil-500mg-8cpr-eu-ge/p
FarmaPonte;7896658018787;Bravan HCT 160mg + 25mg 30 Comprimidos Revestidos;Disponível;84,94;75,75;-10.8%;77,30;-9.0%;Anti-hipertensivos;21596;https://www.farmaponte.com.br/bravan-hct-160-25mg-30cpr/p
FarmaPonte;7896004728865;Rosuvastatina Calcica 20mg com 30 Comprimidos Germed;Disponível;198,59;38,93;-80.4%;39,72;-80.0%;Anti-inflamatório;22194;https://www.farmaponte.com.br/rosuvastatina-20mg-30cpr-l3-germed/p
FarmaPonte;7891317421755;Sinot Clav 875mg + 125mg 20 Comprimidos;Disponível;109,82;93,63;-14.7%;95,54;-13.0%;Antibiotico;19750;https://www.farmaponte.com.br/sinot-clav-875mg-20cps/p
FarmaPonte;7896015528843;Relvar Ellipta 200mcg + 25mcg com 30 doses;Disponível;0;319,23;0;0;0;Antiasmático;23276;https://www.farmaponte.com.br/relvar-200-25mcg-30doses-zz/p
FarmaPonte;7896004703312;Besilato Anlodipino 10mg Genérico EMS 30 Comprimidos;Disponível;0;61,39;0;0;0;Anti-hipertensivos;13963;https://www.farmaponte.com.br/besilato-de-anlodipino-ems-10mg-caixa-com-30-comprimidos/p
FarmaPonte;7896658039270;Mensyva 25mg 30 Comprimidos;Disponível;42,47;36,62;-13.8%;37,37;-12.0%;Psicotropico;24841;https://www.farmaponte.com.br/mensyva-25mg-30-comprimidos-revestidos/p
FarmaPonte;7899083121787;Esmalte Tratamento Sos Unhas Sorinho;Disponível;7,22;5,87;-18.7%;5,99;-17.0%;Digestivo;21088;https://www.farmaponte.com.br/esmalte-tratamento-sos-unhas-sorinho/p
FarmaPonte;7896637025492;Dobeven 500mg Apsen 30 Cápsulas;Disponível;103,82;87,50;-15.7%;89,29;-14.0%;Antivaricoso;18166;https://www.farmaponte.com.br/dobeven-500mg-30caps/p
FarmaPonte;7897460401743;Silimalon 140 com 30 Comprimidos;Disponível;131,00;115,54;-11.8%;58,95;-55.0%;Digestivo;23210;https://www.farmaponte.com.br/silimalon-140mg-30cpr/p
FarmaPonte;7898100242900;Gripalce 20caps;Disponível;0;8,37;0;0;0;Antigripal;26873;https://www.farmaponte.com.br/gripalce-20caps/p
FarmaPonte;7898148299317;Aciclovir Creme Prati-Donaduzzi 50Mg G, Caixa Com 1 Bisnaga Com 10G De Creme De Uso Dermatologico;Disponível;0;24,49;0;0;0;Antiviral;12956;https://www.farmaponte.com.br/aciclovir-creme-prati-donaduzzi-50mgg-caixa-com-1-bisnaga-com-10g-de-creme-de-uso-dermatologico/p
